document,section_table,metric,canonical_full_precision_value,required_display,actual_display,status
manuscript,Abstract/Results,Source cohort N,2651.0,2651,"2,651",PASS
manuscript,Abstract/Results,Primary outcome N,2409.0,2409,"2,409",PASS
manuscript,Abstract/Results,Acute outcome N,1852.0,1852,"1,852",PASS
manuscript,Abstract/Results,CAH outcome N,557.0,557,557,PASS
manuscript,Abstract/Results,Global Wald chi-square,29.0319471391483,29.03,29.03,PASS
manuscript,Abstract/Results,Planned contrast estimate,0.2759584405062885,0.28,0.28,PASS
manuscript,Abstract/Results,Planned contrast lower CI,-0.1514164681798127,-0.15,-0.15,PASS
manuscript,Abstract/Results,Planned contrast upper CI,0.7033333491923897,0.70,0.70,PASS
manuscript,Abstract/Results,Planned contrast P,0.20567061995680996,0.206,.206,PASS
manuscript,Abstract/Results,Interaction Wald chi-square,7.182316409120075,7.18,7.18,PASS
manuscript,Abstract/Results,Interaction P,0.20743048500838923,0.207,.207,PASS
manuscript,Table 2,Profile 0 adjusted mean,86.91916552744665,86.92,86.92,PASS
manuscript,Table 2,Profile 1 adjusted mean,85.38961972875926,85.39,85.39,PASS
manuscript,Table 2,Profile 2 adjusted mean,86.81635472607431,86.82,86.82,PASS
manuscript,Table 2,Profile 3 adjusted mean,86.81676515509011,86.82,86.82,PASS
manuscript,Table 2,Profile 4 adjusted mean,86.33977442788895,86.34,86.34,PASS
manuscript,Table 2,Profile 5 adjusted mean,87.09272359559641,87.09,87.09,PASS
manuscript,Table 3,Primary MICE + IPOW + HC3: global chi-square,29.0319471391483,29.03,29.03,PASS
manuscript,Table 3,Primary MICE + IPOW + HC3: contrast,0.2759584405062885,0.28,0.28,PASS
manuscript,Table 3,Primary MICE + IPOW + HC3: contrast P,0.2056706199568099,0.206,.206,PASS
manuscript,Table 3,Completed-survey-count precision weighting: global chi-square,30.567247364854623,30.57,30.57,PASS
manuscript,Table 3,Completed-survey-count precision weighting: contrast,0.1430421735094808,0.14,0.14,PASS
manuscript,Table 3,Completed-survey-count precision weighting: contrast P,0.533382017883604,0.533,0.533,PASS
