document,table,table_index,row_index,column_index,row_label,column_label,scientific_cell,canonical_display,actual_display,status,source_artifact,full_precision_value
manuscript,manuscript_table_1.csv,1,0,0,Characteristic,Characteristic,NO,Characteristic,Characteristic,PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,0,1,Characteristic,All hospitals,NO,All hospitals,"All hospitals
(N=2,651)",PASS_NORMALIZED,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,0,2,Characteristic,Acute Care,NO,Acute Care,"Acute Care
(n=1,871)",PASS_NORMALIZED,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,0,3,Characteristic,Critical Access,NO,Critical Access,"Critical Access
(n=780)",PASS_NORMALIZED,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,1,0,ONC survey year 2025,Characteristic,NO,ONC survey year 2025,ONC survey year 2025,PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,1,1,ONC survey year 2025,All hospitals,YES,2289 (86.3%),2289 (86.3%),PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,1,2,ONC survey year 2025,Acute Care,YES,1644 (87.9%),1644 (87.9%),PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,1,3,ONC survey year 2025,Critical Access,YES,645 (82.7%),645 (82.7%),PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,2,0,Nonmetropolitan county,Characteristic,NO,Nonmetropolitan county,Nonmetropolitan county,PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,2,1,Nonmetropolitan county,All hospitals,YES,1027 (38.7%),1027 (38.7%),PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
manuscript,manuscript_table_1.csv,1,2,2,Nonmetropolitan county,Acute Care,YES,406 (21.7%),406 (21.7%),PASS,release/v1.0.0/stage6/tables/manuscript_table_1.csv,
