model,result,estimate,se,ci_low,ci_high,statistic,df,p_value,significant_at_0_05,direction,rank_min,rank_max,warnings
canonical,Global six-profile test,,,,,29.0319471391483,5,2.2855353712037596e-05,True,not_applicable,,,0
flexible bed-size squared,Global six-profile test,,,,,23.663698342264208,5,0.0002519161771561293,True,not_applicable,68,68,0
canonical,Profile 5 minus Profile 3,0.2759584405062885,0.21805240691289493,-0.1514164681798127,0.7033333491923897,,11651868.359369839,0.20567061995680996,False,positive,,,0
flexible bed-size squared,Profile 5 minus Profile 3,0.23098096214075525,0.21958960680958364,-0.1994068069374103,0.6613687312189208,,10773606.219441209,0.2928566249486474,False,positive,68,68,0
canonical,Global profile by CAH interaction,,,,,7.182316409120075,5,0.20743048500838923,False,not_applicable,,,0
flexible bed-size squared,Global profile by CAH interaction,,,,,7.424940842210624,5,0.1909058812119575,False,not_applicable,73,73,0
flexible bed-size squared,Coefficient: log2_beds_plus1,-2.7000483437680485,0.6307247768964789,-3.936255488492909,-1.463841199043188,,160925.50343101536,1.862748671030338e-05,True,negative,68,68,0
flexible bed-size squared,Coefficient: log2_beds_plus1_squared,0.14563254993462352,0.042156324229221054,0.06300705373573295,0.22825804613351408,,161565.01605384957,0.0005512844707737567,True,positive,68,68,0
canonical,Adjusted mean profile 0,86.91916552744665,0.5000087474254064,85.93916636811991,87.89916468677339,,52910991.1660888,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 0,86.85633670865248,0.4960137442388329,85.884167611717,87.82850580558795,,52552604.284463905,0.0,True,positive,68,68,0
canonical,Adjusted mean profile 1,85.38961972875926,0.29399911098603504,84.81339161805052,85.965847839468,,1579042.3833097962,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 1,85.50184866961038,0.2923392193365539,84.92887370182352,86.07482363739724,,1106747.53672953,0.0,True,positive,68,68,0
canonical,Adjusted mean profile 2,86.81635472607431,0.1667048325712932,86.48961925341702,87.1430901987316,,82928800.23524481,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 2,86.84269538192271,0.16610338552240253,86.51713872303407,87.16825204081135,,70940200.38105735,0.0,True,positive,68,68,0
canonical,Adjusted mean profile 3,86.81676515509011,0.1712603111121386,86.48110110032115,87.15242920985906,,31232696.049879357,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 3,86.8063000349951,0.1711665741474206,86.47081969855238,87.14178037143783,,25770244.193967674,0.0,True,positive,68,68,0
canonical,Adjusted mean profile 4,86.33977442788895,0.2045640523421771,85.93883625276673,86.74071260301118,,177854601.16361916,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 4,86.39067252686284,0.20591137564087325,85.98709364659965,86.79425140712604,,259414038.6005021,0.0,True,positive,68,68,0
canonical,Adjusted mean profile 5,87.09272359559641,0.1614225395714283,86.77634117949371,87.40910601169911,,7329000.536555623,0.0,True,positive,,,0
flexible bed-size squared,Adjusted mean profile 5,87.03728099713587,0.1611990943734479,86.72133653604371,87.35322545822802,,9152957.03732515,0.0,True,positive,68,68,0
flexible bed-size squared interaction model,Acute Care Profile 5 minus Profile 3,0.06051979810043804,0.21419123821477817,-0.35928735293581193,0.48032694913668805,,13256020.027815172,0.777521589437679,False,positive,73,73,0
flexible bed-size squared interaction model,Critical Access Profile 5 minus Profile 3,1.0377098667372906,0.7587981231166636,-0.44950725426936367,2.524926987743945,,14045376.03604575,0.17144660308758913,False,positive,73,73,0
