model,term,estimate,se,df,ci_low,ci_high,p_value
Alternative count + TEFCA model,Intercept,92.70556697084608,1.1347097936761603,30801.359586362483,90.48148924543472,94.92964469625744,0.0
Alternative count + TEFCA model,conventional_count,0.3212671053598431,0.13906119556943608,9664037.734875284,0.048712136260737615,0.5938220744589486,0.020873949040576923
Alternative count + TEFCA model,current_tefca,-0.29059347620032894,0.5351462105168492,79880122.86742595,-1.3394607911691572,0.7582738387684994,0.5871181167124992
Alternative count + TEFCA model,count_x_tefca,0.1481865738640752,0.20557058344004722,58970129.75133227,-0.25472437422906963,0.5510975219572201,0.47099876194895635
Alternative count + TEFCA model,CAH,0.8346572869632285,0.31737177521233023,8837699.537008861,0.21261995264656786,1.456694621279889,0.008540914195939017
Alternative count + TEFCA model,log2_beds_plus1,-0.6636957240179091,0.07349927114957358,795289.7748584349,-0.8077518676024469,-0.5196395804333713,1.7209736498384153e-19
Alternative count + TEFCA model,ownership_1,0.16450039270143885,0.21598254398376535,317960.1794203785,-0.2588192262277169,0.5878200116305946,0.4462769854563043
Alternative count + TEFCA model,ownership_2,-2.78810938806851,0.3495232499425739,553396.2049238605,-3.4731638680373904,-2.10305490809963,1.5034671936447706e-15
Alternative count + TEFCA model,health_system_affiliated,0.14517755636750548,0.3551185439852781,244702.1406355726,-0.5508454428085896,0.8412005555436006,0.6826762666478713
Alternative count + TEFCA model,teaching_intensity,0.3063198433271166,0.4154652754487596,57938510.71921005,-0.5079771503905401,1.1206168370447733,0.46094389262098745
Alternative count + TEFCA model,high_dsh_flag,-1.849680793076218,0.26509699686942073,3177383.010997931,-2.369261557274595,-1.3301000288778408,3.0080751468290502e-12
Alternative count + TEFCA model,uncompensated_care_burden,-7.636379496076702,2.082931820707493,57289.259144806085,-11.718937100114582,-3.5538218920388225,0.00024643389792310263
Alternative count + TEFCA model,high_uncompensated_care_flag,-0.5266802094400229,0.3320019124167123,54956.846931525964,-1.1774063321040378,0.12404591322399194,0.11265955997463753
Alternative count + TEFCA model,nonmetro,0.13356466252853444,0.2195827467532308,3233561.6594212577,-0.2968097738289946,0.5639390988860635,0.5430112805781361
Alternative count + TEFCA model,year2025,0.3285695691697029,0.24521106523758304,97604157.46360111,-0.152035293266522,0.8091744316059278,0.1802629269729581
Alternative count + TEFCA model,state_AL,-1.7965935431804383,1.1531333928136471,70286.14339447598,-4.056732383245034,0.46354529688415735,0.11923534178645254
Alternative count + TEFCA model,state_AR,-2.718218773828403,1.0795091684602074,47697.505672496045,-4.834071556528897,-0.602365991127908,0.01180512248305435
Alternative count + TEFCA model,state_AZ,-3.695138369392734,1.0554231656077802,47308.97039671429,-5.763782687131434,-1.626494051654034,0.00046377459669196165
Alternative count + TEFCA model,state_CA,-2.2666623099935945,0.9740060363270199,37502.31732419792,-4.175740676239836,-0.35758394374735336,0.01996235131706029
Alternative count + TEFCA model,state_CO,-2.1683869439844714,1.0762404677782855,48764.27855407877,-4.277831857462606,-0.05894203050633706,0.04393326404587743
