profile_bits,hospital_group,source_n,outcome_n,outcome_available_pct,unadjusted_mean,unadjusted_sd
0000,All,123,89,72.35772357723577,87.13483146067416,4.841090718657491
0000,Acute Care,58,54,93.10344827586206,85.87037037037037,4.73065592921478
0000,Critical Access,65,35,53.84615384615385,89.08571428571429,4.394993331798653
0001,All,2,2,100.0,83.0,0.0
0001,Acute Care,2,2,100.0,83.0,0.0
0001,Critical Access,0,0,nan,nan,nan
0010,All,40,30,75.0,86.26666666666667,4.5023620875953645
0010,Acute Care,17,16,94.11764705882354,84.3125,4.585756934974494
0010,Critical Access,23,14,60.869565217391305,88.5,3.2991840483088217
0011,All,15,13,86.66666666666667,84.53846153846153,4.647855860777537
0011,Acute Care,11,11,100.0,83.72727272727273,4.518648229081549
0011,Critical Access,4,2,50.0,89.0,2.8284271247461903
0100,All,54,41,75.92592592592592,85.82926829268293,4.63628320438037
0100,Acute Care,29,28,96.55172413793103,84.67857142857143,3.6520270518304745
0100,Critical Access,25,13,52.0,88.3076923076923,5.647781502274667
0101,All,85,83,97.6470588235294,83.46987951807229,3.6869491300730077
0101,Acute Care,80,79,98.75,83.0506329113924,3.2379905694150657
0101,Critical Access,5,4,80.0,91.75,1.707825127659933
0110,All,79,77,97.46835443037975,87.7012987012987,3.460548082027558
0110,Acute Care,58,58,100.0,86.65517241379311,2.5447001969896146
0110,Critical Access,21,19,90.47619047619048,90.89473684210526,3.970652574998854
0111,All,40,39,97.5,86.66666666666667,3.4893321132404735
0111,Acute Care,30,30,100.0,85.83333333333333,2.4925175381852216
0111,Critical Access,10,9,90.0,89.44444444444444,4.901813723284247
1000,All,218,187,85.77981651376147,84.9144385026738,5.967938989733075
1000,Acute Care,138,138,100.0,83.3840579710145,5.5557196985519
1000,Critical Access,80,49,61.25,89.22448979591837,4.92131971681398
1001,All,29,25,86.20689655172414,86.92,4.280965623158712
1001,Acute Care,15,15,100.0,85.46666666666667,4.373077809027587
1001,Critical Access,14,10,71.42857142857143,89.1,3.2128215360057304
1010,All,150,130,86.66666666666667,86.78461538461538,3.754035792936077
1010,Acute Care,100,97,97.0,86.17525773195877,3.2914355697728057
1010,Critical Access,50,33,66.0,88.57575757575758,4.458351033666364
1011,All,87,84,96.55172413793103,86.46428571428571,3.6847011242725167
1011,Acute Care,52,52,100.0,85.53846153846153,3.214315640646916
1011,Critical Access,35,32,91.42857142857143,87.96875,3.9471049006549337
1100,All,460,413,89.78260869565217,86.97094430992736,4.32133208621118
1100,Acute Care,271,269,99.2619926199262,85.98513011152416,3.380111121796795
1100,Critical Access,189,144,76.19047619047619,88.8125,5.2102222681874215
1101,All,237,217,91.56118143459915,85.14746543778801,5.072292703351794
1101,Acute Care,182,182,100.0,84.36263736263736,4.798748647928919
1101,Critical Access,55,35,63.63636363636363,89.22857142857143,4.518496068681379
1110,All,445,406,91.23595505617978,86.72413793103448,3.071615752185843
1110,Acute Care,341,338,99.12023460410558,86.3224852071006,2.6629946287883484
1110,Critical Access,104,68,65.38461538461539,88.72058823529412,4.062370413952675
1111,All,587,573,97.61499148211243,86.88132635253054,3.8225339854448976
1111,Acute Care,487,483,99.17864476386038,86.35610766045549,3.437271148897157
1111,Critical Access,100,90,90.0,89.7,4.515765143523374
