imputation,health_system_affiliated_imputed_mean,health_system_affiliated_imputed_min,health_system_affiliated_imputed_max,log2_beds_plus1_imputed_mean,log2_beds_plus1_imputed_min,log2_beds_plus1_imputed_max,ownership_code_imputed_mean,ownership_code_imputed_min,ownership_code_imputed_max,teaching_intensity_imputed_mean,teaching_intensity_imputed_min,teaching_intensity_imputed_max,high_dsh_flag_imputed_mean,high_dsh_flag_imputed_min,high_dsh_flag_imputed_max,uncompensated_care_burden_imputed_mean,uncompensated_care_burden_imputed_min,uncompensated_care_burden_imputed_max,high_uncompensated_care_flag_imputed_mean,high_uncompensated_care_flag_imputed_min,high_uncompensated_care_flag_imputed_max
1,0.48148148148148145,0.0,1.0,5.372098711110686,4.0,8.471675214392045,1.0,0.0,2.0,0.0416560927675,0.0,0.5447665848,0.025,0.0,1.0,0.05535766097464788,0.007406849,0.2935886205,0.125,0.0,1.0
2,0.5185185185185185,0.0,1.0,5.3007598777236336,3.700439718141092,8.912889336229961,1.0,0.0,2.0,0.029581180170000006,0.0,0.4132413793,0.025,0.0,1.0,0.04933894508169013,0.0011549294,0.1816084293,0.1,0.0,1.0
3,0.5185185185185185,0.0,1.0,5.242607026155057,3.321928094887362,8.038918989292302,0.85,0.0,2.0,0.0228228501575,0.0,0.2828205128,0.025,0.0,1.0,0.05300589973239436,0.007406849,0.2591168991,0.125,0.0,1.0
4,0.4444444444444444,0.0,1.0,5.408154858185395,3.700439718141092,8.810571634741146,1.0,0.0,2.0,0.076528185955,0.0,1.4005042017,0.025,0.0,1.0,0.05539922318028169,0.0036330686,0.1913479585,0.1,0.0,1.0
5,0.5555555555555556,0.0,1.0,5.101108244389117,3.0,7.994353436858858,1.0,0.0,2.0,0.0267960292225,0.0,0.3107281553,0.05,0.0,1.0,0.06497648857887325,0.0119514557,0.6153673504,0.175,0.0,1.0
6,0.4444444444444444,0.0,1.0,5.371768856066872,2.807354922057604,9.59245703726808,1.05,0.0,2.0,0.0524310648575,0.0,0.8080405405,0.075,0.0,1.0,0.058831591071831,0.007406849,0.2056593126,0.25,0.0,1.0
7,0.4074074074074074,0.0,1.0,5.348196747665572,2.321928094887362,8.741466986401146,0.9,0.0,2.0,0.021156168972499997,0.0,0.3461255411,0.05,0.0,1.0,0.04921979145633803,0.0036330686,0.1847348093,0.175,0.0,1.0
8,0.4074074074074074,0.0,1.0,5.308109434433388,3.4594316186372973,8.842350343413807,0.975,0.0,2.0,0.012932818272500002,0.0,0.4157692308,0.025,0.0,1.0,0.057121323760563385,0.0108472984,0.286092252,0.1,0.0,1.0
9,0.4444444444444444,0.0,1.0,5.25105486672346,2.807354922057604,9.129283016944967,0.95,0.0,2.0,0.0273917765875,0.0,0.4832297297,0.05,0.0,1.0,0.06117073113661973,0.007406849,0.2648568683,0.15,0.0,1.0
10,0.4444444444444444,0.0,1.0,5.113582603119431,3.321928094887362,8.0,1.025,0.0,2.0,0.027612325825,0.0,0.3483030303,0.025,0.0,1.0,0.05196561057183098,0.0144447469,0.1913479585,0.125,0.0,1.0
11,0.4074074074074074,0.0,1.0,5.331348131042998,2.321928094887362,8.60733031374961,0.975,0.0,2.0,0.0338703341325,0.0,0.4578421053,0.075,0.0,1.0,0.05351122696478873,0.0076031199,0.1673749902,0.15,0.0,1.0
12,0.48148148148148145,0.0,1.0,5.338770359111676,3.321928094887362,9.377210530388552,0.9,0.0,2.0,0.045526986082500005,0.0,0.6995238095,0.05,0.0,1.0,0.054924650516901416,0.0030852238,0.2935886205,0.15,0.0,1.0
13,0.5555555555555556,0.0,1.0,5.307481741582484,3.169925001442312,9.308339030139408,1.025,0.0,2.0,0.0263505619475,0.0,0.5791082803,0.075,0.0,1.0,0.05528777247323944,0.0102035121,0.1647278029,0.175,0.0,1.0
14,0.5555555555555556,0.0,1.0,5.17805750029945,2.321928094887362,8.994353436858859,1.05,0.0,2.0,0.0368229537975,0.0,0.5104545455,0.0,0.0,0.0,0.054598364791549295,0.0037964753,0.2200102173,0.2,0.0,1.0
15,0.5925925925925926,0.0,1.0,5.33523844483369,2.321928094887362,9.041659151637214,0.9,0.0,2.0,0.025985785772500002,0.0,0.6766200658,0.0,0.0,0.0,0.04903993977042253,0.0060748726,0.1465841144,0.125,0.0,1.0
16,0.5555555555555556,0.0,1.0,5.191511336629624,3.584962500721156,9.060695931687555,1.025,0.0,2.0,0.011906837075000001,0.0,0.2712612613,0.05,0.0,1.0,0.05218227730140845,0.0031774188,0.194030853,0.1,0.0,1.0
17,0.5555555555555556,0.0,1.0,5.4453544768909765,3.584962500721156,9.335390354693924,1.05,0.0,2.0,0.03995519698,0.0,0.3446268657,0.05,0.0,1.0,0.04926980769295774,0.0031562142,0.1265324382,0.1,0.0,1.0
18,0.5185185185185185,0.0,1.0,5.129220623341628,3.4594316186372973,8.873444112515376,0.875,0.0,2.0,0.01754199552,0.0,0.4843673469,0.1,0.0,1.0,0.059062349504225356,0.0011549294,0.2332336135,0.175,0.0,1.0
19,0.5185185185185185,0.0,1.0,5.540360056612899,4.087462841250339,9.134426320220927,0.9,0.0,2.0,0.0060553126175,0.0,0.1609195402,0.0,0.0,0.0,0.055156939004225344,0.0031774188,0.2063807538,0.175,0.0,1.0
20,0.5185185185185185,0.0,1.0,5.178119745349759,3.4594316186372973,8.149747119504681,1.025,0.0,2.0,0.024865433922500003,0.0,0.4843673469,0.05,0.0,1.0,0.05607410073380282,0.0036330686,0.4355233386,0.25,0.0,1.0
