hospital_group,profile_category,estimate,se,df,ci_low,ci_high,p_value,within_var,between_var
Acute Care,0,85.79382028754131,0.5717208243945398,36707014.62261366,84.67326802556775,86.91437254951487,0.0,0.32662953734313904,0.00022396543165058283
Acute Care,1,83.92062570158143,0.32780788813535783,53372581.443526804,83.2781340324178,84.56311737074506,0.0,0.10739389698888586,6.106146178800392e-05
Acute Care,2,85.92811463336588,0.16418491949231628,84471321.24449553,85.60631809974541,86.24991116698635,0.0,0.02694390314333358,1.2175852728382493e-05
Acute Care,3,85.93346251833063,0.15624511008453063,12557319.395649157,85.62722770028734,86.23969733637392,0.0,0.024382505402584475,2.8599069278683754e-05
Acute Care,4,85.25170582629389,0.21642920682935027,167279533.84401515,84.8275123757058,85.67589927688198,0.0,0.046825815022346846,1.5034806128404539e-05
Acute Care,5,86.05401671584733,0.1566816797841265,27364847.226001464,85.74692625285039,86.36110717884426,0.0,0.024528692967935826,1.9481725752125814e-05
Critical Access,0,89.50823679432912,0.8854720794643373,230452610.49939445,87.77274340926328,91.24373017939496,0.0,0.7838356722893786,0.00021441068716097317
Critical Access,1,88.80585329011937,0.607647569021019,532980.5313328183,87.61488323492813,89.99682334531062,0.0,0.36703099425826,0.0020995941703752506
Critical Access,2,88.98554708742616,0.38691720601400936,168857439.47877294,88.22720329863985,89.74389087621246,0.0,0.14965470707580497,4.7825937030845965e-05
Critical Access,3,88.62656389377727,0.5793782768089375,264227949.4304272,87.49100333780692,89.76212444974763,0.0,0.3355891732696433,8.572796995283542e-05
Critical Access,4,88.9595433402537,0.4714852977843324,148095617.44556203,88.0354491373563,89.88363754315111,0.0,0.22221876239060118,7.583203445658429e-05
Critical Access,5,89.63383892271887,0.5059815723759562,1620229.5204343137,88.64213252318378,90.62554532225396,0.0,0.25514063760622163,0.0008349656931651204
