model,term,estimate,se,df,ci_low,ci_high,p_value
Profile x CAH interaction model,Intercept,93.67988172236717,1.1915280145154112,37542.82769356894,91.34445443421099,96.01530901052335,0.0
Profile x CAH interaction model,profile_0,-0.13964223078931753,0.605724874608826,30582570.878509887,-1.3268412165483647,1.0475567549697298,0.8176742154351906
Profile x CAH interaction model,profile_1,-2.012836816749192,0.36153236379845893,52587825.754511036,-2.7214272453487656,-1.3042463881496182,2.5839926696715487e-08
Profile x CAH interaction model,profile_2,-0.005347884964748362,0.2187717542885602,9599775.139436252,-0.4341326982672807,0.42343692833778396,0.9804976203495923
Profile x CAH interaction model,profile_4,-0.6817566920367445,0.28265711119029685,34713569.71776113,-1.2357544692602067,-0.12775891481328228,0.015867174201972513
Profile x CAH interaction model,profile_5,0.12055419751670851,0.2147066188194775,12023792.45804491,-0.3002630849730461,0.5413714800064632,0.5744680693323219
Profile x CAH interaction model,CAH,-0.008851260444182519,0.6039723062978982,24074767.61348497,-1.192615287961677,1.1749127670733117,0.988307359265874
Profile x CAH interaction model,profile_0:CAH,1.0213151313411766,1.219721758787119,121281619.87248488,-1.369295587041362,3.411925849723715,0.4024045616976726
Profile x CAH interaction model,profile_1:CAH,2.1921262130913073,0.9172007364721927,2158413.588399952,0.3944447949337955,3.9898076312488193,0.016847635143515314
Profile x CAH interaction model,profile_2:CAH,0.36433107861364517,0.7417138563546215,104368694.21279962,-1.089401366675688,1.8180635239029783,0.6232838239103149
Profile x CAH interaction model,profile_4:CAH,1.0147361385131823,0.7836904401059531,77844147.72453263,-0.521268923005503,2.550741200031868,0.19538317888018292
Profile x CAH interaction model,profile_5:CAH,0.886720831424922,0.7851938284216372,15848083.049491532,-0.6522309106988795,2.4256725735487237,0.2587705440973943
Profile x CAH interaction model,log2_beds_plus1,-0.6681758611059214,0.07322962866810008,515561.9959818588,-0.8117036328511542,-0.5246480893606886,7.238849089104098e-20
Profile x CAH interaction model,ownership_1,0.16373875193993373,0.21676856991542948,298961.0446905134,-0.26112155815113147,0.5885990620309989,0.45003237062814216
Profile x CAH interaction model,ownership_2,-2.5920066505933725,0.3432274870633649,370344.43839476514,-3.2647223623202253,-1.9192909388665198,4.3005455407758165e-14
Profile x CAH interaction model,health_system_affiliated,0.15637469544601182,0.35716879131861584,226894.1932194678,-0.5436670063049889,0.8564163971970125,0.6615191060497975
Profile x CAH interaction model,teaching_intensity,0.3848138142326421,0.3819532708846498,30856991.90085714,-0.3638008698429341,1.1334284983082183,0.3136997292365248
Profile x CAH interaction model,high_dsh_flag,-1.8295237635175063,0.25696163049540727,1697294.6374411595,-2.3331596638470415,-1.3258878631879711,1.0810082397622013e-12
Profile x CAH interaction model,uncompensated_care_burden,-8.293248203986499,2.104138449700874,60412.402180563884,-12.417366410718337,-4.16912999725466,8.109903313819167e-05
Profile x CAH interaction model,high_uncompensated_care_flag,-0.41799340633544163,0.33375779639547837,59786.29626798468,-1.0721599103293713,0.23617309765848798,0.210434346288927
Profile x CAH interaction model,nonmetro,0.1885856657640042,0.21952799592275823,3105290.846045588,-0.24168146755022368,0.6188527990782321,0.3903126433796622
Profile x CAH interaction model,year2025,0.40753044450063614,0.24766353717930115,93002809.15772206,-0.07788117497187397,0.8929420639731462,0.09986666777695347
Profile x CAH interaction model,state_AL,-1.9253578528122375,1.2249293546280953,91946.43297000862,-4.32620687578504,0.47549117016056486,0.11599775121186305
Profile x CAH interaction model,state_AR,-2.5120565141299496,1.1572919632876677,67111.20444681555,-4.780347990873345,-0.24376503738655364,0.029962394096185327
Profile x CAH interaction model,state_AZ,-3.916032721293482,1.1296611717407075,63772.7912902184,-6.130169955461195,-1.701895487125769,0.0005275205931787809
Profile x CAH interaction model,state_CA,-2.278770848952945,1.0526352502407197,53053.126194687626,-4.341945097936612,-0.21559659996927838,0.030405552348309533
Profile x CAH interaction model,state_CO,-2.25023788160878,1.1473159068136258,63835.63488173161,-4.498978375406112,-0.0014973878114483696,0.04984764651163337
Profile x CAH interaction model,state_CT,-1.3415915922097839,1.1097636371236552,61031.2643420003,-3.516731489423006,0.8335483050034387,0.22670652728282442
Profile x CAH interaction model,state_DC,-2.9534740727276017,1.2874828673992937,118435.52643017191,-5.476919912166485,-0.43002823328871775,0.02179275928343693
Profile x CAH interaction model,state_DE,-3.5191023081446815,2.039898881211815,735275.4850721493,-7.517237228903877,0.47903261261451435,0.08450344711754201
Profile x CAH interaction model,state_FL,-2.7269725100693334,1.0791267122426929,67623.07979600399,-4.842059858106472,-0.6118851620321943,0.01150582438775722
Profile x CAH interaction model,state_GA,-4.670356805987376,1.1734187019024391,74404.98475494646,-6.970252613478329,-2.3704609984964238,6.894340773490791e-05
Profile x CAH interaction model,state_HI,-3.5065873387518764,1.4512817598408883,184445.80949286936,-6.351065985409473,-0.6621086920942791,0.015684398420443616
Profile x CAH interaction model,state_IA,-1.958196276996432,1.1268867883414277,59651.951118423705,-4.166898612340095,0.2505060583472303,0.08226805087067861
Profile x CAH interaction model,state_ID,0.6330473204629243,1.3596202260373984,137542.44334861738,-2.0317828055537595,3.2978774464796086,0.6414982923075974
Profile x CAH interaction model,state_IL,-3.064023547427871,1.1144795915937333,62123.188643616464,-5.248405967419832,-0.8796411274359102,0.005974243797492544
Profile x CAH interaction model,state_IN,-1.007001201951482,1.111852992570531,55651.51511117536,-3.1862404197452237,1.1722380158422596,0.3651005137012998
Profile x CAH interaction model,state_KS,-1.223937151806058,1.1122893545615662,43644.46906554047,-3.404044686661334,0.9561703830492176,0.27117414894149416
Profile x CAH interaction model,state_KY,-3.0978793558709525,1.212489877611305,91646.73285868733,-5.474347233257557,-0.7214114784843484,0.010621192789399103
Profile x CAH interaction model,state_LA,-1.6724356723046072,1.157191589053201,66912.34723032641,-3.9405305371849737,0.5956591925757593,0.14839126098780817
Profile x CAH interaction model,state_MA,-0.8774994914032049,1.1241749487483783,64134.30115348362,-3.080883486283392,1.3258845034769817,0.4350571445131942
Profile x CAH interaction model,state_MD,-3.190170147731874,1.146535011686658,58745.348098735616,-5.437383778290171,-0.9429565171735779,0.0053968287658948625
Profile x CAH interaction model,state_ME,-0.26728552301682384,1.397238640763852,121950.45286113351,-3.0058501171157617,2.471279071082114,0.8482943720749125
Profile x CAH interaction model,state_MI,-2.5302288533252977,1.1825442963709676,81906.57782277235,-4.848007335022697,-0.21245037162789915,0.03238614913336907
Profile x CAH interaction model,state_MN,-2.332330939292649,1.1534172689407036,70280.07017032232,-4.593026179287996,-0.07163569929730151,0.0431692763090281
Profile x CAH interaction model,state_MO,-2.22305846457441,1.1444513894579516,70463.6893935581,-4.466180500380323,0.02006357123150293,0.052084632492191904
Profile x CAH interaction model,state_MS,-2.804343748599808,1.3150707026618014,110288.70954963424,-5.381863249952709,-0.22682424724690708,0.03297074721918937
Profile x CAH interaction model,state_MT,-1.7458232476285276,1.3070418281998681,116139.5715903026,-4.3076048551463995,0.8159583598893447,0.18164809614683136
Profile x CAH interaction model,state_NC,-2.666457903262142,1.1061725330536516,69174.00078573106,-4.834554164756682,-0.4983616417676018,0.0159321170484557
Profile x CAH interaction model,state_ND,-1.8799078173832755,1.4948319739922715,193611.77550367807,-4.809742965219972,1.0499273304534213,0.20853624511879937
Profile x CAH interaction model,state_NE,-1.7516684950059358,1.3774617596009784,151611.71843910805,-4.451465487242592,0.9481284972307207,0.20349448670421502
Profile x CAH interaction model,state_NH,0.2699579302796792,1.2952900461772632,126613.04098684613,-2.2687881790476405,2.808704039606999,0.8349052470813186
Profile x CAH interaction model,state_NJ,-3.6470920309788086,1.1844277743358305,81132.19758397582,-5.9685624436423,-1.325621618315317,0.002076253960093085
Profile x CAH interaction model,state_NM,-3.811057822204236,1.2468764878359169,91227.53009533523,-6.2549232556021614,-1.3671923888063109,0.002240142756669456
Profile x CAH interaction model,state_NV,-1.4602559850444776,1.5762052199315708,197142.75090800782,-4.549580415366091,1.6290684452771353,0.3542196783504004
Profile x CAH interaction model,state_NY,-2.786527383735347,1.1254708312888726,65052.58949902911,-4.992450721980527,-0.5806040454901673,0.013293459997523504
Profile x CAH interaction model,state_OH,-1.27285255063357,1.0631169563233076,50706.93748006997,-3.356573234367109,0.8108681330999692,0.23120161172293716
Profile x CAH interaction model,state_OK,-1.3228789603578321,1.2152182521658805,85375.65371337757,-3.704696734815474,1.0589388140998097,0.27633615927510524
Profile x CAH interaction model,state_OR,-2.5861353020427145,1.273218988162517,97963.65913681898,-5.0816294957017005,-0.09064110838372841,0.04223956349037727
Profile x CAH interaction model,state_PA,-1.4677659540280843,1.0765110928523893,51442.13279088176,-3.5777385697954225,0.6422066617392537,0.1727476046551844
Profile x CAH interaction model,state_RI,-2.622988477165279,1.2718722691086344,103886.17322494622,-5.115841361462314,-0.13013559286824483,0.03918119252987705
Profile x CAH interaction model,state_SC,-0.9158948610792436,1.1152128343567875,62512.39053404311,-3.101714173327963,1.2699244511694756,0.4114935727885628
Profile x CAH interaction model,state_SD,-3.034693250810426,1.3690354470291974,141569.2783759109,-5.717976361616163,-0.3514101400046892,0.026647560668391513
Profile x CAH interaction model,state_TN,-1.3405808351709312,1.155074716446914,66269.66073732766,-3.604527028093793,0.9233653577519307,0.2458083920273694
