model,term,estimate,se,df,ci_low,ci_high,p_value
Primary structural model,Intercept,93.40812693681623,1.1587742966981358,34762.24722531997,91.13689196842978,95.67936190520268,0.0
Primary structural model,profile_0,0.10240037235654853,0.5368254383017728,44616359.02967098,-0.9497581812430975,1.1545589259561946,0.8487201216227026
Primary structural model,profile_1,-1.4271454263308616,0.3383820772252705,3350257.090103205,-2.0903623503100497,-0.7639285023516736,2.4697075821541378e-05
Primary structural model,profile_2,-0.0004104290158108981,0.22839459300914033,17649162.073956165,-0.44805563627654166,0.44723477824491986,0.9985661884993993
Primary structural model,profile_4,-0.47699072720117225,0.2753889219632317,68686921.11181636,-1.0167431055016498,0.06276165109930526,0.08326250254145998
Primary structural model,profile_5,0.2759584405062885,0.21805240691289493,11651868.359369844,-0.1514164681798127,0.7033333491923897,0.20567061995680996
Primary structural model,CAH,0.8259656703109958,0.3181607833316895,7451024.320106036,0.20238189239118398,1.4495494482308076,0.009429875766870795
Primary structural model,log2_beds_plus1,-0.6519749353236785,0.07253134381762559,544524.2691990612,-0.794134072946833,-0.5098157977005239,2.505499045600901e-19
Primary structural model,ownership_1,0.19255897801993135,0.21522684303659997,212821.40479559486,-0.22928028193556907,0.6143982379754318,0.37095961681536727
Primary structural model,ownership_2,-2.6776273017740437,0.34262239785473947,328342.9548395396,-3.349157337314975,-2.0060972662331125,5.508195697852225e-15
Primary structural model,health_system_affiliated,0.09512152815173244,0.3512239337553005,139064.77328980478,-0.593270724009752,0.783513780313217,0.7865231722373663
Primary structural model,teaching_intensity,0.3413613549082564,0.3734456982486826,32050957.2397806,-0.39057879148138736,1.0733015012979001,0.36067184752946035
Primary structural model,high_dsh_flag,-1.8480525497495641,0.2603685927617002,1973684.6877476145,-2.3583659272182125,-1.3377391722809155,1.2677138077290151e-12
Primary structural model,uncompensated_care_burden,-8.258772462029693,2.098804609463135,65056.68092718515,-12.372430440807992,-4.145114483251395,8.328698502974102e-05
Primary structural model,high_uncompensated_care_flag,-0.4359291271581613,0.33536423246181374,65957.24947890945,-1.093243006682248,0.22138475236592542,0.1936508663271295
Primary structural model,nonmetro,0.1709315721431281,0.21933832748669502,2182318.6217777105,-0.25896388859007285,0.600827032876329,0.4357998408180905
Primary structural model,year2025,0.40453436947123367,0.24556186895426288,74919413.2964063,-0.07675805743101216,0.8858267963734795,0.09947941755040006
Primary structural model,state_AL,-1.8662821468716857,1.195795616977693,85461.91355989776,-4.210031682647587,0.47746738890421603,0.11859747875893337
Primary structural model,state_AR,-2.5662430979851707,1.1257856048859527,59006.08255972202,-4.772787599694699,-0.35969859627564205,0.022640132007397794
Primary structural model,state_AZ,-3.7712642872303945,1.0947206693472022,58262.48011129409,-5.916921946893428,-1.6256066275673606,0.000571554843571742
Primary structural model,state_CA,-2.2078664590228754,1.018718513236804,46666.72044734734,-4.204569842539436,-0.21116307550631475,0.030217189759413024
Primary structural model,state_CO,-2.138240512293953,1.117120990894222,58346.26283884077,-4.327802842204663,0.05132181761675625,0.055616929277655824
Primary structural model,state_CT,-1.200352740687606,1.0768865390128572,55082.505222713284,-3.3110579525079067,0.9103524711326947,0.2650048366292108
Primary structural model,state_DC,-2.9491172178824288,1.2543422151318622,106440.67266044892,-5.407610739995988,-0.490623695768869,0.01871848306572987
Primary structural model,state_DE,-3.320246772471171,2.0193403290013694,722382.9428900295,-7.278087721271648,0.6375941763293054,0.10013048482044809
Primary structural model,state_FL,-2.6531638593777074,1.046890672590046,59855.425436032245,-4.705073366017901,-0.6012543527375134,0.01126886355180646
Primary structural model,state_GA,-4.643385252000155,1.1466958257397255,66633.21664050076,-6.890908596987911,-2.3958619070124,5.141571362427676e-05
Primary structural model,state_HI,-3.390501229988638,1.423000281189623,174941.43032788282,-6.1795498276579774,-0.6014526323192988,0.017189930074873017
Primary structural model,state_IA,-1.8804429849199096,1.0908788090157246,53980.87438710821,-4.018574103465758,0.2576881336259391,0.08475198245670698
Primary structural model,state_ID,0.712896967711913,1.318092928831555,119425.07804910204,-1.8705438840603437,3.2963378194841697,0.5886086344310555
Primary structural model,state_IL,-3.002869251310801,1.0820413949577576,55185.45747361786,-5.123677930199692,-0.8820605724219099,0.005518821649242817
Primary structural model,state_IN,-0.9067961969228463,1.081677353185111,50458.05863705456,-3.026895708009578,1.2133033141638854,0.40185267356236065
Primary structural model,state_KS,-1.0714230985420954,1.0785897133373323,39052.57294718756,-3.185485612333549,1.0426394152493585,0.3205428606075759
Primary structural model,state_KY,-2.9648065439639253,1.1757696507782676,83765.33563375052,-5.269306012392343,-0.6603070755355072,0.011684486758501056
Primary structural model,state_LA,-1.5827374623010997,1.1207833639328884,58649.62509732272,-3.7794778246603045,0.6140029000581049,0.15790500209524808
Primary structural model,state_MA,-0.7840183676258562,1.0923065147000544,57509.28394467138,-2.9249448553443638,1.3569081200926516,0.4729056875561254
Primary structural model,state_MD,-3.1399791453247645,1.1136273007627937,52571.19513179786,-5.322698800505995,-0.9572594901435347,0.00481021192210019
Primary structural model,state_ME,-0.02474719783629098,1.3323058303585384,103231.27453729257,-2.636049258686097,2.586554863013515,0.9851804117099422
Primary structural model,state_MI,-2.422810001826781,1.1497971822847577,73703.29998704938,-4.6764080774864425,-0.16921192616711922,0.03510682814080845
Primary structural model,state_MN,-2.3310014217899493,1.124632484995416,62739.37317134792,-4.535283113097874,-0.12671973048202467,0.03820629584700992
Primary structural model,state_MO,-2.1965307953900153,1.1112440548244567,62682.73464833221,-4.374571177474481,-0.018490413305550124,0.048086576188576945
Primary structural model,state_MS,-2.80387194541903,1.2920154721781236,102943.38763168374,-5.336205512455118,-0.2715383783829419,0.0299974954799573
Primary structural model,state_MT,-1.7456464526944273,1.2585820171418978,98222.64239932636,-4.21245227549741,0.7211593701085552,0.165446558924537
Primary structural model,state_NC,-2.5741627773921776,1.0692877268052425,60730.7706496271,-4.669969980479954,-0.478355574304401,0.01607119142449134
Primary structural model,state_ND,-1.8916858125505882,1.4116716102236033,150694.89917907782,-4.658533549597423,0.8751619244962463,0.18023680520460822
Primary structural model,state_NE,-1.6824160885121047,1.3377992792231181,133968.4564579716,-4.304478183871712,0.9396460068475023,0.2085387226186828
Primary structural model,state_NH,0.28444861814613204,1.2566753908382806,108372.13293679824,-2.1786173971417786,2.7475146334340423,0.8209295510679163
Primary structural model,state_NJ,-3.5761873836394558,1.1504987815235095,71103.94432841204,-5.831161944906745,-1.3212128223721669,0.0018819021920627797
Primary structural model,state_NM,-3.786260397803278,1.2199806272583642,83519.81530512763,-6.177413141515641,-1.395107654090915,0.0019128330528349656
Primary structural model,state_NV,-1.4335644822462086,1.5757229133883321,187288.77953083022,-4.521944600937043,1.6548156364446258,0.3629386135426474
Primary structural model,state_NY,-2.729614293260943,1.0918343228474847,57088.467801831575,-4.869615614481608,-0.5896129720402778,0.012421198592670943
Primary structural model,state_OH,-1.1786582463554283,1.0258998827696582,44674.71313038093,-3.189439546072009,0.8321230533611528,0.2506026166331346
Primary structural model,state_OK,-1.3476716054824123,1.188915828615129,76816.7769453889,-3.677940527125252,0.9825973161604273,0.2569953421290467
Primary structural model,state_OR,-2.4630238720374678,1.2434543128726772,93736.78341354903,-4.900181011174287,-0.025866732900648337,0.04761756605897338
Primary structural model,state_PA,-1.4104158188117821,1.0421186116541243,44907.96472290466,-3.4529858168324328,0.6321541792088683,0.1759308628334444
Primary structural model,state_RI,-2.6351951671449,1.260415745900995,96110.99548859696,-5.105595745406731,-0.16479458888306864,0.036554456099623496
Primary structural model,state_SC,-0.8177966192154031,1.0832708700709324,57207.97602453586,-2.9410134315150946,1.3054201930842886,0.45029246280562285
Primary structural model,state_SD,-3.1570873890275153,1.3339920227595825,122527.12246083881,-5.771689537227459,-0.5424852408275713,0.017951620259033425
Primary structural model,state_TN,-1.2454995424812978,1.120744839046487,59603.736193702694,-3.4421636702062752,0.9511645852436796,0.26643765488798715
Primary structural model,state_TX,-1.4211774576349625,1.0337937410566806,53492.96592382099,-3.4474218045805607,0.6050668893106357,0.16922386880963675
Primary structural model,state_UT,0.00412459271425405,1.1813312638232465,45511.11241685368,-2.311303716809139,2.319552902237647,0.9972142241698233
Primary structural model,state_VA,-1.9294172016778703,1.0569756366017684,55383.45921238475,-4.001096656965284,0.14226225360954414,0.06794409259541175
Primary structural model,state_VT,-2.070421846475017,1.4202787905635472,165326.31016097555,-4.854137503747119,0.7132938107970856,0.14490933734264486
Primary structural model,state_WA,-0.9621782958428412,1.0676781934792563,53586.46813284527,-3.0548363692699194,1.1304797775842372,0.3674926593329191
Primary structural model,state_WI,-0.3393310796709102,1.0607600602604776,50942.13457878162,-2.418431992604623,1.7397698332628024,0.7490497832033648
Primary structural model,state_WV,-1.766247647720104,1.1436497530385037,65253.456402579766,-4.0078015524299895,0.4753062569897819,0.12249737441252506
Primary structural model,state_WY,-0.1889411882100603,1.4185489593930147,85437.06721027264,-2.9692854473314796,2.591403070911359,0.8940408392655166
