mode,max_iter,iterations,convergence_warnings,n,p
canonical,2000,602,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,650,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,541,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,542,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,624,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,651,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,549,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,497,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,632,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,550,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,490,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,555,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,595,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,502,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,498,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,625,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,535,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,586,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,523,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,582,0,2651,77
canonical,2000,11,0,2651,3
canonical,2000,598,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,456,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,644,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,518,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,603,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,684,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,442,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,578,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,677,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,498,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,445,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,509,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,555,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,455,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,480,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,559,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,474,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,590,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,501,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,538,0,2289,76
canonical,2000,11,0,2289,2
canonical,2000,655,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,669,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,610,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,591,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,642,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,583,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,520,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,501,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,463,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,599,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,603,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,511,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,646,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,644,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,626,0,2528,75
canonical,2000,12,0,2528,3
canonical,2000,589,0,2528,75
canonical,2000,12,0,2528,3
