Characteristic,All hospitals,Acute Care,Critical Access
ONC survey year 2025,2289 (86.3%),1644 (87.9%),645 (82.7%)
Nonmetropolitan county,1027 (38.7%),406 (21.7%),621 (79.6%)
Health-system affiliated,2157 (82.2%),1725 (92.4%),432 (57.1%)
Current TEFCA participation,1082 (40.8%),859 (45.9%),223 (28.6%)
Major or very major teaching hospital,306 (11.7%),305 (16.4%),1 (0.1%)
High DSH patient percentage,333 (12.8%),333 (17.9%),0 (0.0%)
High uncompensated-care burden,504 (19.3%),326 (17.6%),178 (23.6%)
Primary HCAHPS outcome publicly reported,2409 (90.9%),1852 (99.0%),557 (71.4%)
Ownership: Government,382 (14.6%),299 (16.1%),83 (11.0%)
Ownership: Nonprofit,1889 (72.3%),1243 (67.0%),646 (85.6%)
Ownership: For-profit,340 (13.0%),314 (16.9%),26 (3.4%)
"Beds, median (IQR)",97 (25–237),166 (81–301),25 (19–25)
"Observed discharge-information score, mean (SD)",86.42 (4.26),85.62 (3.82),89.05 (4.60)
