Bits,Hospital group,Source N,Outcome N,"Outcome available, %",Unadjusted mean,SD
0000,All,123,89,72.4,87.13,4.84
0000,Acute Care,58,54,93.1,85.87,4.73
0000,Critical Access,65,35,53.8,89.09,4.39
0001,All,2,2,100.0,83.00,0.00
0001,Acute Care,2,2,100.0,83.00,0.00
0001,Critical Access,0,0,—,—,—
0010,All,40,30,75.0,86.27,4.50
0010,Acute Care,17,16,94.1,84.31,4.59
0010,Critical Access,23,14,60.9,88.50,3.30
0011,All,15,13,86.7,84.54,4.65
0011,Acute Care,11,11,100.0,83.73,4.52
0011,Critical Access,4,2,50.0,89.00,2.83
0100,All,54,41,75.9,85.83,4.64
0100,Acute Care,29,28,96.6,84.68,3.65
0100,Critical Access,25,13,52.0,88.31,5.65
0101,All,85,83,97.6,83.47,3.69
0101,Acute Care,80,79,98.8,83.05,3.24
0101,Critical Access,5,4,80.0,91.75,1.71
0110,All,79,77,97.5,87.70,3.46
0110,Acute Care,58,58,100.0,86.66,2.54
0110,Critical Access,21,19,90.5,90.89,3.97
0111,All,40,39,97.5,86.67,3.49
0111,Acute Care,30,30,100.0,85.83,2.49
0111,Critical Access,10,9,90.0,89.44,4.90
1000,All,218,187,85.8,84.91,5.97
1000,Acute Care,138,138,100.0,83.38,5.56
1000,Critical Access,80,49,61.2,89.22,4.92
1001,All,29,25,86.2,86.92,4.28
1001,Acute Care,15,15,100.0,85.47,4.37
1001,Critical Access,14,10,71.4,89.10,3.21
1010,All,150,130,86.7,86.78,3.75
1010,Acute Care,100,97,97.0,86.18,3.29
1010,Critical Access,50,33,66.0,88.58,4.46
1011,All,87,84,96.6,86.46,3.68
1011,Acute Care,52,52,100.0,85.54,3.21
1011,Critical Access,35,32,91.4,87.97,3.95
1100,All,460,413,89.8,86.97,4.32
1100,Acute Care,271,269,99.3,85.99,3.38
1100,Critical Access,189,144,76.2,88.81,5.21
1101,All,237,217,91.6,85.15,5.07
1101,Acute Care,182,182,100.0,84.36,4.80
1101,Critical Access,55,35,63.6,89.23,4.52
1110,All,445,406,91.2,86.72,3.07
1110,Acute Care,341,338,99.1,86.32,2.66
1110,Critical Access,104,68,65.4,88.72,4.06
1111,All,587,573,97.6,86.88,3.82
1111,Acute Care,487,483,99.2,86.36,3.44
1111,Critical Access,100,90,90.0,89.70,4.52
